Time            fiSYS fiDIA fiMAP  HR   IBI  SV    CO   EJT    TPR Artifact Zao   Cwk Height
s                mmHg  mmHg  mmHg bpm     s  ml   lpm     s     MU _TPSROD2 mMU    MU   mmHg
0,000           [Res] 21071400  
0,000           [Res] 03483511  
0,000           [Res] BF v3.7   
0,000           [Res] BEATF-MF-2
0,000           [Res] BFmf32-2ch
0,000           [Res] mf-vs-3.21
0,000           [Res] TNOsamples
0,000           [Res] un-delayed
0,000           [Res] sfreq100Hz
0,000           [Res] preschan=1
0,000           [Res] p-site=FIN
0,000           [Res] unfiltered
0,005           [Por] Finger fixed, cuff C2
0,000           [Res] lvl-as-is-
0,000           [Res] calibration 100,0, at 12:37:20.000
0,000           [Res] Start sampling at 12:37:20.00
0,005           [Por] Male     34 y 168 cm  78 kg
0,000           [Res] Female   23 y 173 cm  60 kg
0,000           [Res] hitechan=2
0,000           [Res] markchan=0
0,000           [Res] select=EJT
0,545           [Por] Physiocal  on, Hgt off, C2
17,410            114    62    78  58 1,030  57  3,32 0,220  1,414 11001000  65  2,32    127
18,440            119    68    80  43 1,380  64  2,78 0,340  1,721 10000000  65  2,25    127
19,820            127    65    79  43 1,380  67  2,91 0,280  1,634 10001000  65  2,29    127
21,200            125    65    77  43 1,380  65  2,81 0,290  1,638 10000000  65  2,29    127
22,580            118    63    73  44 1,360  60  2,62 0,360  1,666 10000000  65  2,32    127
23,940            108    59    69  44 1,360  55  2,42 0,230  1,716 10000000  66  2,35    127
25,300            106    59    70  44 1,360  59  2,59 0,380  1,621 10000000  66  2,35    127
26,660            105    58    71  43 1,380  59  2,56 0,370  1,658 10001000  66  2,35    127
28,040            101    59    71  45 1,320  59  2,67 0,370  1,589 10100000  66  2,35    127
29,360            101    59    71  44 1,360  59  2,59 0,370  1,638 10100000  66  2,35    127
30,720            101    59    71  45 1,320  59  2,67 0,370  1,589 10100000  66  2,35    127
32,040            101    59    71  44 1,370  59  2,59 0,370  1,638 10100000  66  2,35    127
33,410            114    62    75  45 1,320  54  2,43 0,330  1,839 10001000  65  2,32    127
34,730            116    62    76  43 1,400  61  2,62 0,360  1,734 10000000  65  2,33    127
36,130            112    61    75  44 1,350  55  2,45 0,370  1,824 10001000  65  2,33    127
37,480            115    62    76  43 1,380  65  2,81 0,320  1,622 10000000  65  2,33    127
38,860            109    61    74  45 1,340  55  2,45 0,360  1,800 10001000  66  2,34    127
40,200            112    61    76  44 1,370  65  2,84 0,360  1,595 10001000  66  2,33    127
41,570            108    61    74  44 1,350  57  2,51 0,360  1,756 10001000  66  2,34    127
42,920            108    60    74  45 1,340  59  2,63 0,360  1,693 10000000  66  2,34    127
44,260            112    61    77  44 1,370  68  2,98 0,380  1,550 10001000  65  2,33    127
